cui,umls_concept,entity_norm
C1265234,Nontuberculous Mycobacteria,nontuberculous mycobacteria
C5543174,Nontuberculous mycobacterial infections,nontuberculous mycobacterial infections
C0019655,Histoplasmosis,histoplasmosis
C0009186,Coccidioidomycosis,coccidioidomycosis
C1562222,Dimorphic Fungus,dimorphic fungus
C0181909,Mounts,mounts
C0009187,Coccidiosis,coccidiosis
C0036025,Saccharomyces cerevisiae,saccharomyces cerevisiae
C0870077,Rule (guideline),rule guideline
C0748164,Multiple Pulmonary Nodules,multiple pulmonary nodules
C0014599,Epithelial hyperplasia,epithelial hyperplasia
C0005713,Blastomyces,blastomyces
C0220913,Manufactured sign,manufactured sign
C0276253,Cytomegaloviral pneumonia,cytomegaloviral pneumonia
C5241289,Reactivated Infection,reactivated infection
C0008100,"Child, Preschool",child preschool
C0682053,Toddler (age group),toddler age group
C0236511,Cytomegalovirus antibody,cytomegalovirus antibody
C2243080,Intestinal necrosis,intestinal necrosis
C1511790,Detection,detection
C0851886,Pneumocystis Infections,pneumocystis infections
C0476405,Lung function testing abnormal,lung function testing abnormal
C1282910,Upper,upper
C4281590,Structure of middle lobe of right lung,structure of middle lobe of right lung
C0014014,"Empyema, Tuberculous",empyema tuberculous
C0014533,Epididymis,epididymis
C0549207,Bone structure of spine,bone structure of spine
C0347944,Pelvic mass,pelvic mass
C0679362,"Tuberculosis, Extrapulmonary",tuberculosis extrapulmonary
C1282907,Low Grade,low grade
C5539831,Miliary,miliary
C0004604,Back Pain,back pain
C0030486,Paraplegia,paraplegia
C0019664,History,history
C0600322,Rhodamine,rhodamine
C2827442,Diagnostic Quality,diagnostic quality
C0015177,"Europe, Eastern",europe eastern
C0035970,Russia,russia
C4076168,Multidrug-resistant bacteria,multidrugresistant bacteria
C0278253,Guarded prognosis,guarded prognosis
C0317751,Mycobacterium kansasii,mycobacterium kansasii
C0445910,Mycobacterium abscessus,mycobacterium abscessus
C0006754,California,california
C2936738,Therapeutic Irrigation,therapeutic irrigation
C1456094,allogeneic hematopoietic stem cell transplant with purging,allogeneic hematopoietic stem cell transplant with purging
C0158945,Congenital Cytomegalovirus Infection,congenital cytomegalovirus infection
C2700087,Tubular Epithelial Cell Count,tubular epithelial cell count
C3271539,glomerular endothelium fenestra,glomerular endothelium fenestra
C1518437,Nuclear pleomorphism,nuclear pleomorphism
C1510832,Agents of Opportunistic Infection,agents of opportunistic infection
C0677881,Cytotoxic Chemotherapy,cytotoxic chemotherapy
C0206061,"Pneumonia, Interstitial",pneumonia interstitial
C0037125,Silver,silver
C0440048,Periodic acid Schiff stain,periodic acid schiff stain
C0042267,Vaginitis,vaginitis
C0040261,Onychomycosis,onychomycosis
C0030578,Paronychia Inflammation,paronychia inflammation
C0021807,Intertrigo,intertrigo
C0004690,Balanitis,balanitis
C0011974,Diaper Rash,diaper rash
C0014236,Endophthalmitis,endophthalmitis
C1880192,Crypt,crypt
C0026718,Mucormycosis,mucormycosis
C0035477,Rhizopus,rhizopus
C0043543,Zygomycota,zygomycota
C0011880,Diabetic Ketoacidosis,diabetic ketoacidosis
C0004031,"Aspergillosis, Allergic Bronchopulmonary",aspergillosis allergic bronchopulmonary
C0276651,Aspergilloma,aspergilloma
C4505065,Noncommunicable Diseases,noncommunicable diseases
C2046647,Lung Hodgkin Lymphoma,lung hodgkin lymphoma
C1306459,Primary malignant neoplasm,primary malignant neoplasm
C0334492,Malignant mesenchymal tumor,malignant mesenchymal tumor
C0007131,Non-Small Cell Lung Carcinoma,nonsmall cell lung carcinoma
C0376622,ABCB1 gene,abcb1 gene
C1515021,Subgroup,subgroup
C0022457,K-ras Oncogene,kras oncogene
C0007091,"Carcinogens, Environmental",carcinogens environmental
C0037370,"Smoking, Passive",smoking passive
C0028798,Occupational Exposure,occupational exposure
C2936598,Pancreatic Stellate Cells,pancreatic stellate cells
C1158830,Transcription Initiation,transcription initiation
C1156245,Growth pattern,growth pattern
C1513712,Mucinous,mucinous
C1513402,Macromolecular Sequence Alteration Process,macromolecular sequence alteration process
C0206720,Squamous Cell Neoplasms,squamous cell neoplasms
C0334000,Adenomatous hyperplasia,adenomatous hyperplasia
C0206695,"Carcinoma, Neuroendocrine",carcinoma neuroendocrine
C4727465,Squamous Dysplasia,squamous dysplasia
C0282002,Superficial Infection,superficial infection
C0151826,Retrosternal pain,retrosternal pain
C1513871,Nail Fold,nail fold
C4520843,Pterygium of eye,pterygium of eye
C0222193,Skin of penis,skin of penis
C0180416,Diaper,diaper
C0151465,Renal abscess,renal abscess
C0276648,Mycotic endocarditis,mycotic endocarditis
C0010416,Cryptococcus neoformans,cryptococcus neoformans
C0205143,Angular,angular
C1519248,Septate,septate
C1180033,Structure of wall of blood vessel,structure of wall of blood vessel
C0027423,Nasal cavity,nasal cavity
C0546483,Lung cyst,lung cyst
C0011906,Differential Diagnosis,differential diagnosis
C0016057,Fibrosarcoma,fibrosarcoma
C0332556,Coin lesion,coin lesion
C4722463,Cancer-Related Death,cancerrelated death
fifties and sixties,fifties and sixties,fifties and sixties
16%,16%,16
C1518174,Malignant Epithelial Cell,malignant epithelial cell
C1514888,Resectable,resectable
C0796477,Chromosome 3 Short Arm,chromosome 3 short arm
C1332080,ALK gene,alk gene
C0812281,ROS1 gene,ros1 gene
C1456828,"MET protein, human",met protein human
C1535502,Bronchoalveolar Lavage,bronchoalveolar lavage
C0225668,Clara cell,clara cell
C0225698,Alveolar Epithelial Cells,alveolar epithelial cells
C0152013,Adenocarcinoma of lung (disorder),adenocarcinoma of lung disorder
C1522217,Intraluminal Route of Drug Administration,intraluminal route of drug administration
C0332207,Acinar,acinar
C0205312,Papillary,papillary
C0334276,Adenocarcinoma in Situ,adenocarcinoma in situ
C0449574,Histological type,histological type
C0334252,"Squamous cell carcinoma, microinvasive",squamous cell carcinoma microinvasive
C0041618,Ultrasonography,ultrasonography
C0682577,Cuboidal Epithelium,cuboidal epithelium
C0085255,Synaptophysin,synaptophysin
C0008586,Chromogranins,chromogranins
C0334324,Mixed cell adenocarcinoma,mixed cell adenocarcinoma
C0001041,acetylcholine,acetylcholine
C0005745,Blepharoptosis,blepharoptosis
C0026205,Miosis disorder,miosis disorder
C1519810,Unresectable,unresectable
C0667477,"TNFRSF11A protein, human",tnfrsf11a protein human
C5206341,Unresectable Colon Adenocarcinoma,unresectable colon adenocarcinoma
C0751911,"Paraneoplastic Syndromes, Nervous System",paraneoplastic syndromes nervous system
C0553723,Squamous cell carcinoma of skin,squamous cell carcinoma of skin
"tumors (3cm or less in diameter, pure growth along preexisting structures, without stromal invasion)","tumors (3cm or less in diameter, pure growth along preexisting structures, without stromal invasion)",tumors 3cm or less in diameter pure growth along preexisting structures without stromal invasion
C0205321,Penetration,penetration
C1266032,Atypical carcinoid tumor,atypical carcinoid tumor
C0031118,Peripheral Nervous System Neoplasms,peripheral nervous system neoplasms
C0264542,Adhesion of pleura,adhesion of pleura
C0014013,"Empyema, Pleural",empyema pleural
C0080032,"Pleural Effusion, Malignant",pleural effusion malignant
C0264558,Tension Pneumothorax,tension pneumothorax
C0325125,Phocidae,phocidae
C0238404,Pyopneumothorax,pyopneumothorax
C0595836,Intrathoracic Route of Drug Administration,intrathoracic route of drug administration
C0240346,Miners,miners
C0221463,Insulator,insulator
C1709093,Multiple Transition Abnormalities,multiple transition abnormalities
C1332380,BAP1 gene,bap1 gene
C0935440,Cuboidal cell,cuboidal cell
C0206419,Genus: Coronavirus,genus coronavirus
C0275804,Streptococcal tonsillitis,streptococcal tonsillitis
C0010246,Coxsackievirus Infections,coxsackievirus infections
C0001327,Acute laryngitis,acute laryngitis
C0012557,Laryngeal diphtheria,laryngeal diphtheria
C0023077,Laryngotracheobronchitis,laryngotracheobronchitis
C0010380,Croup,croup
C1336966,Viral Oncogene,viral oncogene
C0334247,"Squamous cell carcinoma, keratinizing",squamous cell carcinoma keratinizing
C0334248,"Squamous cell carcinoma, large cell, nonkeratinizing",squamous cell carcinoma large cell nonkeratinizing
C1336860,Undifferentiated Malignant Neoplasm,undifferentiated malignant neoplasm
C0396053,Singers' nodes,singers nodes
C0205363,Stratified,stratified
C0240164,Squamous Papilloma of the Larynx,squamous papilloma of the larynx
C1168198,Recurrent respiratory papillomatosis,recurrent respiratory papillomatosis
C0242648,Vertical Disease Transmission,vertical disease transmission
C1512511,Human Papilloma Virus Vaccine,human papilloma virus vaccine
C0345713,Neoplasm of glottis,neoplasm of glottis
C0345746,Neoplasm of subglottis,neoplasm of subglottis
C0017681,glottis,glottis
C0542115,NEUROLOGIC CHANGES,neurologic changes
C0023928,Lobectomy,lobectomy
C0032284,Pneumonectomy,pneumonectomy
C0006611,Mucin-1 Antigen,mucin1 antigen
C0022972,Lambert-Eaton Myasthenic Syndrome,lamberteaton myasthenic syndrome
C0029412,"Osteoarthropathy, Secondary Hypertrophic",osteoarthropathy secondary hypertrophic
C0230686,Neurosecretory granule,neurosecretory granule
C3538928,Usual,usual
56%,56%,56
35%,35%,35
C0020303,Hydropneumothorax,hydropneumothorax
C2939419,Secondary Neoplasm,secondary neoplasm
"a layer of yellow-white, firm, variably gelatinous tumor","a layer of yellow-white, firm, variably gelatinous tumor",a layer of yellowwhite firm variably gelatinous tumor
C0027424,Nasal congestion (finding),nasal congestion finding
C0748023,Bacterial prostatitis,bacterial prostatitis
C0001486,Adenovirus Infections,adenovirus infections
C0040425,Tonsillitis,tonsillitis
C0031157,Peritonsillar Abscess,peritonsillar abscess
C5206510,EBV-Related Sarcoma,ebvrelated sarcoma
C0034537,Radiation Tolerance,radiation tolerance
C0042930,Vocal cord structure,vocal cord structure
C0335076,Singer,singer
C0205874,"Papilloma, Squamous Cell",papilloma squamous cell
C0453292,Raspberries,raspberries
C0225354,Structure of mucous gland (organ component),structure of mucous gland organ component
C1882869,Rat Squamous Cell Hyperplasia,rat squamous cell hyperplasia
C2239273,Supraglottis (body part),supraglottis body part
C0581126,Severe asthma,severe asthma
C0036205,"Sarcoidosis, Pulmonary",sarcoidosis pulmonary
C4038730,Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome,asthmachronic obstructive pulmonary disease overlap syndrome
C2350236,Idiopathic Interstitial Pneumonias,idiopathic interstitial pneumonias
C1883685,Tubular Structures Present,tubular structures present
C0242528,Azotemia,azotemia
C2919641,Postrenal azotemia,postrenal azotemia
C2364126,Endocrine system alteration,endocrine system alteration
C0265152,Pericarditis secondary to uremia,pericarditis secondary to uremia
C0268732,Nephritic syndrome,nephritic syndrome
C0027721,Lipoid nephrosis,lipoid nephrosis
C0268733,Acute nephritis,acute nephritis
C1328818,Podocytes,podocytes
C0227651,"Mesangial Cells, Kidney",mesangial cells kidney
C0230906,Mesangial matrix (substance),mesangial matrix substance
C0232809,Glomerular filtration,glomerular filtration
C0754893,nephrin,nephrin
C5546962,Secondary glomerular disease,secondary glomerular disease
C0027842,Neuroimmunomodulation,neuroimmunomodulation
C0023610,gonadorelin,gonadorelin
C5539713,Glomerular subepithelial immune-complex deposits,glomerular subepithelial immunecomplex deposits
C0059274,endostreptosin,endostreptosin
C1567994,"Antigens, Plant",antigens plant
C0268743,"Membranoproliferative Glomerulonephritis, Type II",membranoproliferative glomerulonephritis type ii
C2826598,Focal Podocyte Injury,focal podocyte injury
C0027713,Nephrons,nephrons
C3808956,Foot process effacement,foot process effacement
C0913844,NPHS2 protein,nphs2 protein
C0009429,Combined Modality Therapy,combined modality therapy
C3899617,Clinical Classification,clinical classification
C0242479,Interdisciplinary Studies,interdisciplinary studies
C0178664,Glomerulosclerosis (disorder),glomerulosclerosis disorder
C0597054,neuromuscular system,neuromuscular system
C2350462,Physicochemical Processes,physicochemical processes
C0017662,"Glomerulonephritis, Membranoproliferative",glomerulonephritis membranoproliferative
C0028961,Oliguria,oliguria
C3278888,"Glomerulonephritis, postinfectious",glomerulonephritis postinfectious
C0034907,Red Cross,red cross
C1567741,Alport Syndrome,alport syndrome
C0085681,Hyperphosphatemia (disorder),hyperphosphatemia disorder
C0011945,Physical Dialysis,physical dialysis
C0004659,Bacteriuria,bacteriuria
C0034359,Pyuria,pyuria
C0152169,Renal Colic,renal colic
70 to 100 nm,70 to 100 nm,70 to 100 nm
C0085872,Basal lamina,basal lamina
C1517719,Lamina Rara Interna,lamina rara interna
C1517718,Lamina Rara Externa,lamina rara externa
C0441732,Type 4,type 4
20 to 30 nm,20 to 30 nm,20 to 30 nm
C5539467,Deflation of the glomerular tuft,deflation of the glomerular tuft
C0162415,Mesenchyma,mesenchyma
C0007961,charge amounts,charge amounts
C3178987,Glomerular Filtration Barrier,glomerular filtration barrier
C0442743,Noninflammatory,noninflammatory
C0205248,Granular,granular
C4285064,ACTN4 wt Allele,actn4 wt allele
C0018026,gold,gold
C0027706,Hereditary nephritis,hereditary nephritis
C0006938,captopril,captopril
C5539715,Glomerular subepithelial deposits,glomerular subepithelial deposits
C3689447,Cane/Crutch Spikes,canecrutch spikes
C3262233,Secondary Cause of Death,secondary cause of death
C4087273,C3 glomerulopathy,c3 glomerulopathy
C4055342,C3 Glomerulonephritis,c3 glomerulonephritis
C0009508,Complement C3 Nephritic Factor,complement c3 nephritic factor
C0017857,Glyceraldehyde-3-Phosphate Dehydrogenases,glyceraldehyde3phosphate dehydrogenases
C0444628,Crescents,crescents
C0473237,Frank hematuria,frank hematuria
C0011135,Defecation,defecation
C0017982,glycosylation,glycosylation
C0239937,Microscopic hematuria,microscopic hematuria
C0403440,Thin basement membrane disease,thin basement membrane disease
C1305904,Familial hematuria,familial hematuria
C3696954,Precapillary pulmonary hypertension,precapillary pulmonary hypertension
C3640814,Favorable,favorable
C0403398,Steroid-Dependent Nephrotic Syndrome,steroiddependent nephrotic syndrome
C0078911,AIDS-Associated Nephropathy,aidsassociated nephropathy
other forms of gn,other forms of gn,other forms of gn
C0233532,Maladaptive behavior associated with physical illness,maladaptive behavior associated with physical illness
95%,95%,95
60%,60%,60
40%,40%,40
C5197787,Drug-Induced Ototoxicity,druginduced ototoxicity
C3280103,Podocyte foot process effacement,podocyte foot process effacement
C1881215,Inorganic,inorganic
C0744421,Immune-complex glomerulonephritis,immunecomplex glomerulonephritis
C1704321,"Nephrotic Syndrome, Minimal Change",nephrotic syndrome minimal change
C0341439,Chronic liver disease,chronic liver disease
85%,85%,85
C0038160,Staphylococcal Infections,staphylococcal infections
C0026780,Mumps,mumps
C0194073,Kidney biopsy,kidney biopsy
C0264939,Systemic Vasculitis,systemic vasculitis
C0151882,Purpuric rash,purpuric rash
C0232805,Normal renal function,normal renal function
C1969372,Tubulointerstitial fibrosis,tubulointerstitial fibrosis
C0018784,Sensorineural Hearing Loss (disorder),sensorineural hearing loss disorder
C0023309,Lens dislocation,lens dislocation
C1850191,Posterior polar cataract,posterior polar cataract
C0010035,Hereditary corneal dystrophy,hereditary corneal dystrophy
C1567742,"Alport Syndrome, X-Linked",alport syndrome xlinked
C0027707,"Nephritis, Interstitial",nephritis interstitial
C0729866,Lower urinary tract,lower urinary tract
C0034186,Pyelonephritis,pyelonephritis
C0033697,Proteus,proteus
C0014344,Enterobacter,enterobacter
C0038404,Enterococcus faecalis,enterococcus faecalis
C0560560,Moving,moving
C0021632,instrumentation aspects,instrumentation aspects
C0007430,Catheterization,catheterization
C0010702,Cystoscopy,cystoscopy
C1514583,Proximity,proximity
C0574056,Short urethra,short urethra
C0232841,Bladder dysfunction,bladder dysfunction
C1512376,Hematogenous,hematogenous
C1547175,Sequencing - Ascending,sequencing ascending
C0042140,Uterine Prolapse,uterine prolapse
C2902981,Neurogenic bladder dysfunction,neurogenic bladder dysfunction
C0041951,Ureter,ureter
C0042580,Vesico-Ureteral Reflux,vesicoureteral reflux
C4551858,Vesicoureteral Reflux 1,vesicoureteral reflux 1
C5667459,Intraparenchymal,intraparenchymal
C1285478,surface of kidney,surface of kidney
C0011387,Dental Papilla,dental papilla
C1705504,KAT5 wt Allele,kat5 wt allele
C0032946,Predisposing Factors,predisposing factors
C0006736,Calculi,calculi
C5539787,Intrarenal reflux,intrarenal reflux
C0232831,Impairment of urinary concentration,impairment of urinary concentration
C0451718,Non-obstructive reflux-associated chronic pyelonephritis (disorder),nonobstructive refluxassociated chronic pyelonephritis disorder
C1710040,Secondary focal segmental glomerulosclerosis,secondary focal segmental glomerulosclerosis
C0037296,Hypersensitivity skin testing,hypersensitivity skin testing
C3541338,Urinary System Findings Domain,urinary system findings domain
C0555120,Urine microscopy leukocytes present finding,urine microscopy leukocytes present finding
C2584556,Drug-induced tubulointerstitial nephritis,druginduced tubulointerstitial nephritis
C0005853,Blood-Air Barrier,bloodair barrier
C1290140,Post-streptococcal reactive arthritis,poststreptococcal reactive arthritis
C0227666,Renal pelvis,renal pelvis
C0033581,prostatitis,prostatitis
C0041976,Urethritis,urethritis
C0427944,Determination of bacterial growth,determination of bacterial growth
C0034216,Pyonephrosis,pyonephrosis
sharply defined gray-white to yellow necrosis of apical two-thirds of renal pyramids,sharply defined gray-white to yellow necrosis of apical two-thirds of renal pyramids,sharply defined graywhite to yellow necrosis of apical twothirds of renal pyramids
C0149524,Acute prostatitis,acute prostatitis
C0013428,Dysuria,dysuria
C0042023,Increased frequency of micturition,increased frequency of micturition
C0085606,Urgency of micturition,urgency of micturition
C0403389,Chronic obstructive pyelonephritis,chronic obstructive pyelonephritis
C0403622,Primary vesicoureteric reflux,primary vesicoureteric reflux
C0403447,Chronic Kidney Insufficiency,chronic kidney insufficiency
C3273254,Arterionephrosclerosis,arterionephrosclerosis
C0152451,Chronic glomerulonephritis,chronic glomerulonephritis
C1515441,Thyroid Gland Tissue,thyroid gland tissue
C0032617,Polyuria,polyuria
C0028734,Nocturia,nocturia
C0022651,Structure of calyx,structure of calyx
C0031406,phenindione,phenindione
C0008783,cimetidine,cimetidine
C0552639,tubular cells,tubular cells
C0035070,Renal Circulation,renal circulation
C0161841,Mismatched blood transfused,mismatched blood transfused
C2945560,Hemolysis (lab result),hemolysis lab result
C3896160,epithelium regeneration,epithelium regeneration
C0027719,Nephrosclerosis,nephrosclerosis
C0021880,Intracranial Pressure,intracranial pressure
C0301363,5-Trimethoxyamphetamine,5trimethoxyamphetamine
C0032113,Plasma Exchange,plasma exchange
C5539793,Abnormal residual volume,abnormal residual volume
C3854019,gentamicin,gentamicin
C1149024,sodium/potassium-exchanging ATPase activity,sodiumpotassiumexchanging atpase activity
C1517563,Intratubular Route of Drug Administration,intratubular route of drug administration
C0039038,Sympathectomy,sympathectomy
C1275743,Co-morbid conditions,comorbid conditions
C5418765,Vigorous Supportive Therapy,vigorous supportive therapy
C1865276,Global glomerulosclerosis,global glomerulosclerosis
C0497247,Increase in blood pressure,increase in blood pressure
C0030353,Papilledema,papilledema
C0036825,Serum Proteins,serum proteins
C0456918,Peritubular,peritubular
C4697736,Thick-walled,thickwalled
C0022680,Polycystic Kidney Diseases,polycystic kidney diseases
C0037157,Simple cyst,simple cyst
C3536714,Renal dysplasia,renal dysplasia
C3887499,Renal cyst,renal cyst
C0022665,Kidney Neoplasm,kidney neoplasm
C0022679,Cystic kidney,cystic kidney
C0442872,Multiple cysts,multiple cysts
C1418599,PKD1 gene,pkd1 gene
C1679774,"PKD1 protein, human",pkd1 protein human
C1417782,NPHP1 gene,nphp1 gene
C1153432,TRPP Cation Channels,trpp cation channels
C1418600,PKD2 gene,pkd2 gene
C5418579,PRKD2 Gene Mutation,prkd2 gene mutation
C0085413,"Polycystic Kidney, Autosomal Dominant",polycystic kidney autosomal dominant
C1418605,PKHD1 gene,pkhd1 gene
C0022681,Medullary sponge kidney,medullary sponge kidney
C0687120,Nephronophthisis,nephronophthisis
nhp1 to nhp9,nhp1 to nhp9,nhp1 to nhp9
C0085602,Polydipsia,polydipsia
C0451641,Urolithiasis,urolithiasis
C1304890,Enteral,enteral
C0075338,Struvite,struvite
C0126771,Magnesium Ammonium Phosphate,magnesium ammonium phosphate
C0033702,Proteus vulgaris,proteus vulgaris
C0010682,cystine,cystine
C0020295,Hydronephrosis,hydronephrosis
C2753592,sinoatrial valve formation,sinoatrial valve formation
C0443127,Aberrant,aberrant
C1335779,Retroperitoneal Lymphoma,retroperitoneal lymphoma
C0041959,Ureteritis,ureteritis
C0232989,Normal pregnancy,normal pregnancy
C0521622,Bilateral hydronephrosis,bilateral hydronephrosis
C0242781,disease transmission,disease transmission
C0277785,Functional disorder,functional disorder
C0205257,Incomplete,incomplete
C0542518,Enlarged kidney,enlarged kidney
C3714581,Multicystic Dysplastic Kidney,multicystic dysplastic kidney
C0332910,bilateral agenesis,bilateral agenesis
C0332909,Congenital unilateral absence,congenital unilateral absence
C0266295,Congenital hypoplasia of kidney,congenital hypoplasia of kidney
C0750974,"Brain Tumor, Primary",brain tumor primary
C0949541,Hurthle Cell Tumor,hurthle cell tumor
C1519718,Intercalated cell of collecting duct of renal tubule,intercalated cell of collecting duct of renal tubule
C0206681,"Adenocarcinoma, Clear Cell",adenocarcinoma clear cell
C1266042,Chromophobe Renal Cell Carcinoma,chromophobe renal cell carcinoma
C0206734,Hemangioblastoma,hemangioblastoma
C0694897,VHL gene,vhl gene
C0299505,"VHL protein, human",vhl protein human
C1546466,Problems - What subject filter,problems what subject filter
C1517220,Fluid Absorption Alteration,fluid absorption alteration
C1516349,Cell Maturation,cell maturation
C0522503,Translucent,translucent
C0876954,Contour form,contour form
C1519623,Transmembrane Domain,transmembrane domain
C4277690,Ciliopathies,ciliopathies
C0524462,Luminal region,luminal region
C2263233,body fluid secretion,body fluid secretion
C0008667,"Chromosomes, Human, Pair 4",chromosomes human pair 4
C0278141,Excruciating pain,excruciating pain
C0038525,Subarachnoid Hemorrhage,subarachnoid hemorrhage
C3146221,Juvenile,juvenile
C0009714,"Hepatic Fibrosis, Congenital",hepatic fibrosis congenital
C0271270,Oculovestibuloauditory syndrome,oculovestibuloauditory syndrome
C4025708,Cerebellar malformation,cerebellar malformation
C3897780,Radiologic Imaging Procedure,radiologic imaging procedure
C1856659,Polysplenia,polysplenia
C1508753,Urinary system,urinary system
4.5%,4.5%,45
0.5%,0.5%,05
20%,20%,20
15%,15%,15
C0019647,Histone H3,histone h3
C0006706,calcium oxalate,calcium oxalate
C0403719,Uric acid urolithiasis,uric acid urolithiasis
C4727091,Obscure,obscure
better understood,better understood,better understood
C0018246,Inguinal region,inguinal region
C0232851,Flow of urine,flow of urine
C5453112,Spinal cord damage,spinal cord damage
C0442161,Perinephric,perinephric
C0003834,Arterial insufficiency,arterial insufficiency
C0005687,Bladder distention,bladder distention
C0740404,limb defects,limb defects
C0265783,Congenital hypoplasia of lung,congenital hypoplasia of lung
C0743165,dialysis chronic,dialysis chronic
C1521294,3p25,3p25
C1512554,Hypermethylation,hypermethylation
C1417123,MET gene,met gene
C0279702,Conventional (Clear Cell) Renal Cell Carcinoma,conventional clear cell renal cell carcinoma
C0229473,Cell of Claudius,cell of claudius
C0085167,Granular cell tumor,granular cell tumor
C0475440,Tumor size,tumor size
C1881134,Image Study,image study
C0027672,"Neoplastic Syndromes, Hereditary",neoplastic syndromes hereditary
C1855801,Calcium nephrolithiasis,calcium nephrolithiasis
C0016327,Fluorides,fluorides
C0060515,fluorapatite,fluorapatite
C0016487,Food Processing,food processing
C0457640,Poor oral hygiene,poor oral hygiene
C0008684,Chronic gingivitis,chronic gingivitis
C0040461,Toothbrushing,toothbrushing
C4708796,Flossing of teeth,flossing of teeth
C0031099,Periodontitis,periodontitis
C0038363,Aphthous Stomatitis,aphthous stomatitis
C0019351,"herpesvirus 2, human",herpesvirus 2 human
C0677498,Acute herpetic gingivostomatitis,acute herpetic gingivostomatitis
C0019345,Herpes Labialis,herpes labialis
C0332476,erythematous,erythematous
C0443284,Pseudomembranous,pseudomembranous
C0221262,Poliosis,poliosis
C0014818,Erythroplasia,erythroplasia
C0024888,Chewing,chewing
C0815074,betel quid,betel quid
C5206635,Human Papillomavirus-Related Penile Intraepithelial Neoplasia,human papillomavirusrelated penile intraepithelial neoplasia
C0999806,Human papillomavirus 16,human papillomavirus 16
C2828150,Oropharyngeal Human Papillomavirus-Positive Squamous Cell Carcinoma,oropharyngeal human papillomaviruspositive squamous cell carcinoma
C0229876,Structure of tonsillar crypt,structure of tonsillar crypt
C0585362,Squamous cell carcinoma of mouth,squamous cell carcinoma of mouth
C0458583,Lower lip structure,lower lip structure
C1550309,Submandibular,submandibular
C0001565,Sublingual Route of Drug Administration,sublingual route of drug administration
C0036099,Minor salivary gland structure,minor salivary gland structure
C0036104,secretion of saliva,secretion of saliva
C0037023,Sialadenitis,sialadenitis
C1335326,Papillary Pattern,papillary pattern
C0879257,Hereditary Papillary Renal Carcinoma,hereditary papillary renal carcinoma
C0796361,Chromosome 7q,chromosome 7q
C0683325,clinical aspects,clinical aspects
C0746412,Palpable mass,palpable mass
C0015799,Feminization,feminization
C0042755,Abnormal Virilization,abnormal virilization
third most common solid cancer in children younger than 10 years of age,third most common solid cancer in children younger than 10 years of age,third most common solid cancer in children younger than 10 years of age
C0242147,Acute urinary tract infection,acute urinary tract infection
C0029396,Heterotopic Ossification,heterotopic ossification
C0700287,Reporting,reporting
C0003461,Anus,anus
C0162443,Journal,journal
C0040426,Tooth structure,tooth structure
C0028877,Odontogenesis,odontogenesis
C0080233,Tooth Loss,tooth loss
C2699512,Squamous Metaplasia of Bronchial Mucosa,squamous metaplasia of bronchial mucosa
C2986569,Buildup,buildup
C0011330,Dental Calculus,dental calculus
C0239735,Gingival erythema,gingival erythema
C0031093,Periodontal Ligament,periodontal ligament
C0011343,Dental Cementum,dental cementum
C0085488,Aggregatibacter actinomycetemcomitans,aggregatibacter actinomycetemcomitans
C0085478,Porphyromonas gingivalis,porphyromonas gingivalis
C0242938,Prevotella intermedia,prevotella intermedia
C0019342,Genital Herpes,genital herpes
C0226901,Hard Palate,hard palate
C0004704,Balloon Dilatation,balloon dilatation
C0597134,oral bacteria,oral bacteria
C1305740,Overbite,overbite
C0596377,connective tissue hyperplasia,connective tissue hyperplasia
C1290783,Peripheral ossifying fibroma,peripheral ossifying fibroma
C0023646,Lichen Planus,lichen planus
C1514391,Premalignant,premalignant
C1279941,Late stage,late stage
C0242896,Anticholinergic Agents,anticholinergic agents
C0358430,Muscle relaxants,muscle relaxants
C0231919,Nasal mucosa dry,nasal mucosa dry
C0221245,Fissure in skin,fissure in skin
C0029191,Orchitis,orchitis
C0026683,Mucocele,mucocele
C0036091,Sialolithiasis,sialolithiasis
C0282469,Biodiversity,biodiversity
mesenchyme-like background of loose myxoid tissue,mesenchyme-like background of loose myxoid tissue,mesenchymelike background of loose myxoid tissue
C0206694,Mucoepidermoid Carcinoma,mucoepidermoid carcinoma
C1334206,"Breast Ductal Carcinoma In Situ, Intermediate Grade",breast ductal carcinoma in situ intermediate grade
C0028879,Odontogenic Cysts,odontogenic cysts
C0259770,Epithelial inclusion cyst,epithelial inclusion cyst
C0011428,Dentigerous Cyst,dentigerous cyst
C0011416,Dental Sac,dental sac
C0341038,Jaw Keratocyst,jaw keratocyst
C0034543,Radicular Cyst,radicular cyst
C0040440,Tooth Extraction,tooth extraction
C0028880,Odontogenic Tumors,odontogenic tumors
C0002448,Ameloblastoma,ameloblastoma
C0028882,Odontoma,odontoma
C0014871,Esophagogastric Junction,esophagogastric junction
C0204695,Feeding patient,feeding patient
C0014866,Esophageal Stenosis,esophageal stenosis
C0037763,Spasm,spasm
C0014848,Esophageal Achalasia,esophageal achalasia
C0859976,Idiopathic achalasia of esophagus,idiopathic achalasia of esophagus
C0027028,Myenteric Plexus,myenteric plexus
C0345180,Ectopic gastric mucosa,ectopic gastric mucosa
C0266153,Ectopic gastric tissue,ectopic gastric tissue
C4476620,Portosystemic collateral veins,portosystemic collateral veins
C0520798,Hepatic schistosomiasis,hepatic schistosomiasis
C0024633,Mallory-Weiss Syndrome,malloryweiss syndrome
